File Name,Focal Length,Lighting Temperature,Aperture,Focus Distance,Shot Type,ISO,INT/EXT,Camera Model,Composition Techniques,Filter Used,Lens
-6033.jpg,50,3200,2.0,1.0,Point-of-view,1600,EXT,Panasonic Lumix GH5,Rule of thirds,UV Filter,Canon EF 24-70mm f/2.8L II USM
-6037.jpg,105,4300,1.4,1.5,Point-of-view,100,EXT,Fujifilm X-T3,Leading lines,ND Filter,Canon EF 24-70mm f/2.8L II USM
-6039.jpg,105,4300,1.4,0.5,Point-of-view,200,INT,Fujifilm X-T3,Symmetry,UV Filter,Nikon AF-S Nikkor 50mm f/1.4G
-6049.jpg,50,6500,2.0,1.0,Over-the-shoulder,100,EXT,Canon EOS R,Frame within a frame,UV Filter,Tokina AT-X 16-28mm f/2.8 Pro FX
-6050.jpg,35,5600,2.8,1.5,Wide shot,400,EXT,Canon EOS C70,Frame within a frame,Polarizer,Panasonic Lumix G X Vario 12-35mm f/2.8 II ASPH
-6064.jpg,85,6500,2.8,1.0,Over-the-shoulder,800,INT,Panavision Millennium DXL2,Golden ratio,None,Canon EF 24-70mm f/2.8L II USM
-6072.jpg,24,4300,2.0,1.0,Medium shot,1600,EXT,Sony FX6,Frame within a frame,UV Filter,Tokina AT-X 16-28mm f/2.8 Pro FX
-6083.jpg,85,5600,4.0,3.0,Point-of-view,200,INT,ARRI Alexa,Leading lines,ND Filter,Nikon AF-S Nikkor 50mm f/1.4G
-6084.jpg,85,6500,4.0,1.5,Extreme close-up,1600,EXT,ARRI Alexa,Leading lines,None,Leica Summilux-C 29mm T1.4
-6092.jpg,35,4300,2.0,3.0,Over-the-shoulder,400,INT,Blackmagic URSA Mini,Frame within a frame,None,Panasonic Lumix G X Vario 12-35mm f/2.8 II ASPH
1917-2019-260-16334.jpg,105,5600,5.6,2.0,Point-of-view,200,EXT,ARRI Alexa,Frame within a frame,UV Filter,Sigma 35mm f/1.4 DG HSM Art
1917-2019-260-16341.jpg,105,5600,2.8,0.5,Point-of-view,1600,EXT,Sony A7S III,Frame within a frame,UV Filter,Canon EF 24-70mm f/2.8L II USM
1917-2019-260-16345.jpg,105,6500,2.0,0.5,Over-the-shoulder,1600,EXT,RED Epic,Frame within a frame,UV Filter,Fujifilm XF 56mm f/1.2 R
1917-2019-260-16349.jpg,50,3200,1.4,1.0,Close-up,200,INT,ARRI Alexa,Symmetry,None,Tokina AT-X 16-28mm f/2.8 Pro FX
1917-2019-260-16355.jpg,105,3200,5.6,2.0,Over-the-shoulder,1600,EXT,Fujifilm X-T3,Rule of thirds,Polarizer,Panasonic Lumix G X Vario 12-35mm f/2.8 II ASPH
1917-2019-260-16357.jpg,85,3200,5.6,3.0,Extreme close-up,800,EXT,ARRI Amira,Golden ratio,Polarizer,Sigma 35mm f/1.4 DG HSM Art
1917-2019-260-16358.jpg,24,5600,1.4,1.0,Medium shot,100,INT,Blackmagic URSA Mini,Rule of thirds,UV Filter,Tokina AT-X 16-28mm f/2.8 Pro FX
1917-2019-260-16360.jpg,24,6500,2.0,0.5,Point-of-view,200,INT,Blackmagic URSA Mini,Golden ratio,Polarizer,Tokina AT-X 16-28mm f/2.8 Pro FX
1917-2019-260-16369.jpg,35,3200,2.0,3.0,Wide shot,400,INT,RED Epic,Symmetry,None,Sony FE 24-70mm f/2.8 GM
1917-2019-260-16372.jpg,35,4300,2.8,3.0,Wide shot,1600,EXT,Sony FX6,Symmetry,None,Canon EF 24-70mm f/2.8L II USM
1917-2019-260-16374.jpg,24,4300,4.0,0.5,Wide shot,100,INT,Canon C300,Rule of thirds,ND Filter,Sigma 35mm f/1.4 DG HSM Art
1917-2019-260-16375.jpg,24,3200,4.0,1.0,Extreme close-up,200,INT,Canon C300,Golden ratio,UV Filter,Fujifilm XF 56mm f/1.2 R
